Date,Practice,Course,Hole,Putt #,Distance to Hole,Down/Up,Left/Right,Distance Left,Miss Side,Is High,Total Putts,Head Up,Good Speed Read,Good Line Read,Good Speed Execution,Good Line Execution
11/15/2025,0,Jackson Park Golf Course,5,3,1,,,,,1,1,1,,,,
11/15/2025,0,Jackson Park Golf Course,6,1,45,2,3,5,,0,3,1,1,0,1,0
11/15/2025,0,Jackson Park Golf Course,6,2,5,-1,-1,1,-1,1,2,1,1,0,1,1
11/15/2025,0,Jackson Park Golf Course,6,3,1,,,,,1,1,1,,,,
11/15/2025,0,Jackson Park Golf Course,7,1,4,-1,-1,0,,0,1,1,1,1,1,1
11/15/2025,0,Jackson Park Golf Course,8,1,15,-1,1,0,,0,1,1,1,1,1,1
11/15/2025,0,Jackson Park Golf Course,9,1,15,1,-1,2,-2,1,2,1,1,0,1,1
11/15/2025,0,Jackson Park Golf Course,9,2,2,,,,,1,1,1,,,,
11/15/2025,0,Jackson Park Golf Course,10,1,6,1,-1,0,,0,1,1,1,1,1,1
11/15/2025,0,Jackson Park Golf Course,11,1,30,-2,3,1,0,0,2,1,1,1,1,1
11/15/2025,0,Jackson Park Golf Course,11,2,1,,,,,1,1,1,,,,
11/15/2025,0,Jackson Park Golf Course,12,1,3,0,-1,1,-1,1,2,1,1,1,1,0
11/15/2025,0,Jackson Park Golf Course,12,2,1,,,,,1,1,1,,,,
11/15/2025,0,Jackson Park Golf Course,13,1,5,1,-1,1,1,0,2,1,1,0,1,0
11/15/2025,0,Jackson Park Golf Course,13,2,1,,,,,1,1,1,,,,
11/15/2025,0,Jackson Park Golf Course,14,1,7,0,-1,,,0,1,1,1,1,1,1
11/15/2025,0,Jackson Park Golf Course,15,1,2,,,,,1,1,1,,,,
11/15/2025,0,Jackson Park Golf Course,16,1,6,1,1,1,1,1,2,1,1,0,1,1
11/15/2025,0,Jackson Park Golf Course,16,2,1,,,,,1,1,1,,,,
11/15/2025,0,Jackson Park Golf Course,17,1,25,2,3,2,0,0,2,1,1,0,0,0
11/15/2025,0,Jackson Park Golf Course,17,2,2,,,,,1,1,1,,,,
11/15/2025,0,Jackson Park Golf Course,18,1,18,-1,-3,1,-1,1,2,1,1,1,1,1
11/15/2025,0,Jackson Park Golf Course,18,2,1,,,,,1,1,1,,,,
