Putt ID,Date,Practice,Course,Hole,Putt #,Distance to Hole,Down/Up,Left/Right,Distance Left,Miss Side,Is High,Total Putts,Head Up,Good Speed Read,Good Line Read,Good Speed Execution,Good Line Execution
68,11/15/2025,0,Jackson Park Golf Course,18,2,1,,,,,1,1,1,1,1,1,1
69,04/30/2026,0,Robert A. Black Golf Course,1,1,36,1,3,8,-0.5,0,3,1,0,1,0,0
70,04/30/2026,0,Robert A. Black Golf Course,1,2,8,-1,1,1,0.5,1,2,1,1,0,1,1
71,04/30/2026,0,Robert A. Black Golf Course,1,3,1,0,0,0,,1,1,1,1,1,1,1
72,04/30/2026,0,Robert A. Black Golf Course,2,1,7,1,0.5,0.5,0,0,2,1,1,1,0,1
73,04/30/2026,0,Robert A. Black Golf Course,2,2,0.5,0,0,0,,1,1,1,1,1,1,1
74,04/30/2026,0,Robert A. Black Golf Course,3,1,75,3,0,21,-2,0,3,1,0,0,0,0
75,04/30/2026,0,Robert A. Black Golf Course,3,2,21,-2,2,2,-1,0,2,1,1,0,0,1
76,04/30/2026,0,Robert A. Black Golf Course,3,3,2,0,0,0,0,1,1,1,1,1,1,1
77,04/30/2026,0,Robert A. Black Golf Course,4,1,2,0.5,0,0,0,1,1,1,1,1,1,1
78,04/30/2026,0,Robert A. Black Golf Course,5,1,12,0,2,1,-1,0,2,1,1,0,0,1
79,04/30/2026,0,Robert A. Black Golf Course,5,2,1,0,0,0,0,1,1,1,1,1,1,1
80,04/30/2026,0,Robert A. Black Golf Course,6,1,17,-2,2,1,0,0,2,1,0,1,0,1
81,04/30/2026,0,Robert A. Black Golf Course,6,2,1,0,0,0,0,1,1,1,1,1,1,1
82,04/30/2026,0,Robert A. Black Golf Course,7,1,11,-1,-2,2,-1,1,2,1,1,1,0,1
83,04/30/2026,0,Robert A. Black Golf Course,7,2,2,0,0,0,0,1,1,1,1,1,1,1
84,04/30/2026,0,Robert A. Black Golf Course,8,1,35,-1,2,8,1,1,3,1,0,0,0,0
85,04/30/2026,0,Robert A. Black Golf Course,8,8,8,0,-1,1,-0.5,1,2,1,1,1,1,1
86,04/30/2026,0,Robert A. Black Golf Course,8,1,0,0,0,0,0,1,1,1,1,1,1,1
87,04/30/2026,0,Robert A. Black Golf Course,9,1,7,-3,-3,1,0.5,0,2,1,1,0,1,1
88,04/30/2026,0,Robert A. Black Golf Course,9,2,1,0,0,0,0,1,1,1,1,1,1,1
89,5/1/2026,0,Robert A. Black Golf Course,1,1,17,-2,-3,3,0.5,,3,0,0,0,0,1
90,5/1/2026,0,Robert A. Black Golf Course,1,2,3,-1,-1,1,0.5,,2,0,1,1,1,0
91,5/1/2026,0,Robert A. Black Golf Course,1,3,1,1,1,0,0,,1,0,1,1,1,1
92,5/1/2026,0,Robert A. Black Golf Course,2,1,2,0,0,0,0,,1,0,1,1,1,1
93,5/1/2026,0,Robert A. Black Golf Course,3,1,2,0,0,0,0,,1,0,1,1,1,1
94,5/1/2026,0,Robert A. Black Golf Course,4,1,17,-1,3.5,1,0.5,,2,0,0,1,0,0
95,5/1/2026,0,Robert A. Black Golf Course,4,2,1,0,0,0,0,,1,0,1,1,1,1
96,5/1/2026,0,Robert A. Black Golf Course,5,1,13,1,-3,1.5,0,,2,0,0,1,0,1
97,5/1/2026,0,Robert A. Black Golf Course,5,2,1.5,0,0,0,0,,1,0,1,1,1,1
98,5/1/2026,0,Robert A. Black Golf Course,6,1,2,0,0,0,0,,,0,1,1,1,1
99,5/1/2026,0,Robert A. Black Golf Course,7,1,12,1,-1.5,2,0.5,,2,0,0,0,0,0
100,5/1/2026,0,Robert A. Black Golf Course,7,2,2,0.5,-0.5,0,0,,1,0,1,1,1,1
101,5/1/2026,0,Robert A. Black Golf Course,8,1,6,0,0.5,1,-0.5,,2,1,1,0,0,0
102,5/1/2026,0,Robert A. Black Golf Course,8,2,1,0,0,0,0,,1,0,1,1,1,1
103,5/1/2026,0,Robert A. Black Golf Course,9,1,40,-2,-2.5,3.5,0,,2,0,1,1,0,1
104,5/1/2026,0,Robert A. Black Golf Course,9,2,3.5,-0.5,-1,0,0,,1,0,1,1,1,1
105,5/10/2026,0,Sydney Marovitz Golf Course,1,1,14,-1,-1,1,-1,,2,0,1,0,0,1
106,5/10/2026,0,Sydney Marovitz Golf Course,1,2,1,0,0,0,0,,1,0,1,1,1,1
107,5/10/2026,0,Sydney Marovitz Golf Course,2,1,5,0.5,0.5,0,0,,1,0,1,1,1,1
108,5/10/2026,0,Sydney Marovitz Golf Course,3,1,38,-1,-1,4,-0.5,,3,0,1,1,0,1
109,5/10/2026,0,Sydney Marovitz Golf Course,3,2,4,-0.5,-0.5,2,-0.5,,2,0,1,0,1,1
110,5/10/2026,0,Sydney Marovitz Golf Course,3,3,2,0,0,0,0,,1,0,1,1,1,1
111,5/10/2026,0,Sydney Marovitz Golf Course,4,1,27,-3,-4,2,0.5,,3,0,1,0,1,1
112,5/10/2026,0,Sydney Marovitz Golf Course,4,2,2,-1,-1,2,0.5,,2,0,1,0,1,0
113,5/10/2026,0,Sydney Marovitz Golf Course,4,3,2,0.5,0.5,0,0,,1,0,1,1,1,1
114,5/10/2026,0,Sydney Marovitz Golf Course,5,1,21,-3,3.5,3,1.5,,2,0,1,0,1,1
115,5/10/2026,0,Sydney Marovitz Golf Course,5,2,3,0,-0.5,0,0,,1,0,1,1,1,1
116,5/10/2026,0,Sydney Marovitz Golf Course,6,1,8,0.5,-1.5,1,1,,2,0,1,0,0,0
117,5/10/2026,0,Sydney Marovitz Golf Course,6,2,1,0,0,0,0,,1,0,1,1,1,1
118,5/10/2026,0,Sydney Marovitz Golf Course,7,1,44,-3,-3,1.5,-0.5,,2,0,1,1,1,1
119,5/10/2026,0,Sydney Marovitz Golf Course,7,2,1.5,-0.5,0,0,0,,1,0,1,1,1,1
120,5/10/2026,0,Sydney Marovitz Golf Course,8,1,12,-1.5,-2,0.5,-0.5,,2,0,1,1,1,1
121,5/10/2026,0,Sydney Marovitz Golf Course,8,2,0.5,0,0,0,0,,1,0,1,1,1,1
122,5/10/2026,0,Sydney Marovitz Golf Course,9,1,18,0.5,1.5,1,0.5,,2,0,1,1,1,1
123,5/10/2026,0,Sydney Marovitz Golf Course,9,2,1,0,0,0,0,,1,0,1,1,1,1
